;;
QUANT;CHARGE_DAY;
 21569 sms/4280 sec/20014 count_sms;01.08.2021 ;
 40265 sms/9481 sec/37798 count_sms;03.08.2021 ;
 40257 sms/10311 sec/37270 count_sms;04.08.2021 ;
 69089 sms/10024 sec/65791 count_sms;05.08.2021 ;
 75719 sms/8206 sec/71408 count_sms;06.08.2021 ;
 76366 sms/8904 sec/73134 count_sms;07.08.2021 ;
 49340 sms/6618 sec/46078 count_sms;08.08.2021 ;
 50121 sms/10477 sec/46593 count_sms;09.08.2021 ;
 47903 sms/10581 sec/43945 count_sms;10.08.2021 ;
 45514 sms/12395 sec/41850 count_sms;11.08.2021 ;
 66495 sms/16195 sec/63195 count_sms;12.08.2021 ;
 41060 sms/13889 sec/37258 count_sms;13.08.2021 ;
 33517 sms/8396 sec/29818 count_sms;14.08.2021 ;
 28227 sms/3555 sec/25272 count_sms;15.08.2021 ;
 33247 sms/36831 sec/28311 count_sms;16.08.2021 ;
 73020 sms/44986 sec/68501 count_sms;17.08.2021 ;
 84069 sms/49103 sec/79570 count_sms;18.08.2021 ;
 67873 sms/46645 sec/61580 count_sms;19.08.2021 ;
 74092 sms/25471 sec/68408 count_sms;20.08.2021 ;
 57638 sms/11410 sec/51152 count_sms;21.08.2021 ;
 53925 sms/6605 sec/48807 count_sms;22.08.2021 ;
 50028 sms/41340 sec/45570 count_sms;23.08.2021 ;
 36423 sms/47279 sec/31833 count_sms;24.08.2021 ;
 33376 sms/29501 sec/28635 count_sms;25.08.2021 ;
 43396 sms/28150 sec/37358 count_sms;26.08.2021 ;
 45240 sms/17698 sec/38677 count_sms;27.08.2021 ;
 38738 sms/14907 sec/32377 count_sms;28.08.2021 ;
 38922 sms/10261 sec/33187 count_sms;29.08.2021 ;
 44592 sms/21034 sec/37874 count_sms;30.08.2021 ;
 24890 sms/32332 sec/21746 count_sms;31.08.2021 ;
;;
